Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
Missouri,2020,23,2020-06-06,1293,1131,16,277,29,46,15,57,23,25,,295,44,55,52,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,24,2020-06-13,1263,1125,21,257,27,51,15,50,28,33,,288,46,46,43,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,25,2020-06-20,1228,1104,19,239,31,41,18,50,23,23,10,300,70,45,36,,,,,,,,,,,,,,,
Missouri,2020,26,2020-06-27,1284,1143,18,261,39,27,14,72,25,25,,286,74,43,36,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,27,2020-07-04,1284,1124,18,287,41,40,,51,18,27,11,295,61,42,35,,,,,,,Suppressed (counts 1-9),,,,,,,,
Missouri,2020,28,2020-07-11,1295,1153,13,222,37,54,17,59,19,25,15,330,52,43,38,,,,,,,,,,,,,,,
Missouri,2020,29,2020-07-18,1367,1217,17,257,26,53,15,77,26,40,,320,64,48,44,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,30,2020-07-25,1355,1210,10,266,33,53,17,62,28,40,11,309,48,87,74,,,,,,,,,,,,,,,
Missouri,2020,31,2020-08-01,1366,1230,15,249,44,46,14,80,25,30,10,320,74,79,65,,,,,,,,,,,,,,,
Missouri,2020,32,2020-08-08,1355,1226,24,241,37,52,19,64,33,41,13,281,59,99,89,,,,,,,,,,,,,,,
Missouri,2020,33,2020-08-15,1379,1237,18,263,39,49,25,75,30,29,11,284,61,108,99,,,,,,,,,,,,,,,
Missouri,2020,34,2020-08-22,1402,1273,16,295,27,53,20,63,27,33,12,300,67,100,86,,,,,,,,,,,,,,,
Missouri,2020,35,2020-08-29,1382,1243,20,288,27,55,18,66,18,26,,258,69,129,115,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,36,2020-09-05,1410,1251,19,236,42,49,19,69,26,38,17,298,83,112,107,,,,,,,,,,,,,,,
Missouri,2020,37,2020-09-12,1369,1259,13,254,30,40,18,69,30,24,,285,80,153,137,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,38,2020-09-19,1445,1314,21,272,31,53,19,60,30,27,16,325,77,134,124,,,,,,,,,,,,,,,
Missouri,2020,39,2020-09-26,1465,1341,18,273,32,57,20,79,27,28,12,305,57,183,156,,,,,,,,,,,,,,,
Missouri,2020,40,2020-10-03,1522,1395,20,236,41,39,13,63,37,33,12,326,69,239,220,,,,,,,,,,,,,,,
Missouri,2020,41,2020-10-10,1531,1385,16,249,32,66,10,85,23,39,20,282,74,230,216,,,,,,,,,,,,,,,
Missouri,2020,42,2020-10-17,1519,1365,21,223,43,48,14,69,29,30,14,308,69,211,198,,,,,,,,,,,,,,,
Missouri,2020,43,2020-10-24,1577,1460,25,266,36,45,20,61,36,42,16,354,65,251,221,,,,,,,,,,,,,,,
Missouri,2020,44,2020-10-31,1611,1498,14,248,33,69,27,59,36,34,,332,65,306,277,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,45,2020-11-07,1790,1649,19,297,45,73,20,66,31,34,13,359,74,374,335,,,,,,,,,,,,,,,
Missouri,2020,46,2020-11-14,1839,1704,28,275,37,68,15,74,35,33,,348,72,450,401,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2020,47,2020-11-21,1858,1752,28,261,40,66,38,88,31,47,11,327,64,492,449,,,,,,,,,,,,,,,
Missouri,2020,48,2020-11-28,1908,1784,28,248,46,81,22,56,41,32,11,316,62,583,540,,,,,,,,,,,,,,,
Missouri,2020,49,2020-12-05,1962,1834,25,270,40,62,32,84,22,32,11,352,62,567,526,,,,,,,,,,,,,,,
Missouri,2020,50,2020-12-12,2017,1890,17,281,45,59,19,92,42,41,17,359,79,578,531,,,,,,,,,,,,,,,
Missouri,2020,51,2020-12-19,1890,1747,22,241,47,68,19,75,37,36,17,355,77,510,468,,,,,,,,,,,,,,,
Missouri,2020,52,2020-12-26,1830,1689,23,264,46,62,21,91,30,38,16,300,66,485,444,,,,,,,,,,,,,,,
Missouri,2020,53,2021-01-02,1830,1702,17,255,34,74,26,72,31,42,19,342,71,458,405,,,,,,,,,,,,,,,
Missouri,2021,1,2021-01-09,1746,1615,26,243,38,55,22,79,20,27,17,316,56,445,400,,,,,,,,,,,,,,,
Missouri,2021,2,2021-01-16,1772,1647,21,251,37,56,21,60,31,32,13,346,72,423,388,,,,,,,,,,,,,,,
Missouri,2021,3,2021-01-23,1718,1588,23,293,40,74,33,61,35,39,10,305,63,381,338,,,,,,,,,,,,,,,
Missouri,2021,4,2021-01-30,1605,1497,16,273,49,59,23,76,25,33,12,316,53,292,267,,,,,,,,,,,,,,,
Missouri,2021,5,2021-02-06,1513,1375,23,262,46,58,22,61,28,34,16,288,61,202,169,,,,,,,,,,,,,,,
Missouri,2021,6,2021-02-13,1410,1296,21,235,35,41,20,59,27,27,11,337,69,176,155,,,,,,,,,,,,,,,
Missouri,2021,7,2021-02-20,1497,1382,22,248,45,47,22,89,27,32,12,335,67,136,121,,,,,,,,,,,,,,,
Missouri,2021,8,2021-02-27,1388,1248,24,255,29,45,20,75,25,37,17,318,68,106,81,,,,,,,,,,,,,,,
Missouri,2021,9,2021-03-06,1350,1217,18,269,34,41,17,61,31,30,14,296,77,87,73,,,,,,,,,,,,,,,
Missouri,2021,10,2021-03-13,1287,1184,20,258,29,43,14,62,32,25,14,292,57,67,59,,,,,,,,,,,,,,,
Missouri,2021,11,2021-03-20,1228,1112,10,225,33,53,17,47,37,29,10,291,56,59,49,,,,,,,,,,,,,,,
Missouri,2021,12,2021-03-27,1340,1231,23,264,35,46,17,81,28,36,13,288,71,73,63,,,,,,,,,,,,,,,
Missouri,2021,13,2021-04-03,1234,1119,24,252,33,42,10,55,33,43,17,278,55,59,55,,,,,,,,,,,,,,,
Missouri,2021,14,2021-04-10,1293,1185,20,281,30,39,12,81,27,32,11,297,65,46,38,,,,,,,,,,,,,,,
Missouri,2021,15,2021-04-17,1191,1119,11,246,29,30,19,65,22,30,13,290,74,45,39,,,,,,,,,,,,,,,
Missouri,2021,16,2021-04-24,1136,1078,23,246,39,41,,58,33,26,,255,67,47,40,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
Missouri,2021,17,2021-05-01,1074,1027,16,238,36,48,13,60,11,28,,248,54,56,48,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2021,18,2021-05-08,917,894,16,218,23,27,12,50,22,23,,222,38,33,27,,,,,,,,,,,Suppressed (counts 1-9),,,,
Missouri,2021,19,2021-05-15,754,736,12,175,14,29,17,35,17,20,,166,42,28,23,,,,,,,,,,,Suppressed (counts 1-9),,,,
Montana,2020,1,2020-01-04,231,204,,43,,,,22,,,,46,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,2,2020-01-11,211,187,,45,,,,,,,0,53,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Montana,2020,3,2020-01-18,202,184,,35,,,,11,,,,52,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,4,2020-01-25,197,180,,34,,,,21,,,,40,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,5,2020-02-01,218,197,0,44,,,,11,,,,46,11,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,6,2020-02-08,202,182,,47,,,,12,,,,46,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,7,2020-02-15,198,181,,38,,,,12,,,,48,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,8,2020-02-22,217,207,,49,,11,,13,,,,54,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,9,2020-02-29,236,217,,40,,,,21,,,,58,15,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,10,2020-03-07,221,198,,43,,,,17,,,,44,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,11,2020-03-14,218,199,,42,,,,15,,,,48,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,12,2020-03-21,229,212,,48,,,11,14,,,,47,14,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,13,2020-03-28,205,183,,37,0,,10,12,,0,,39,10,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,14,2020-04-04,177,164,,26,,11,,10,,,,48,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,15,2020-04-11,216,197,,39,11,,,18,,,0,47,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Montana,2020,16,2020-04-18,191,173,,43,,,,10,,,,38,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,17,2020-04-25,187,171,,28,,,,23,,,,41,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,18,2020-05-02,204,175,,33,,,,17,,,0,43,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,19,2020-05-09,177,160,,43,,,0,,,,0,43,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Montana,2020,20,2020-05-16,205,185,,48,,,,14,,,,41,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,21,2020-05-23,181,162,,33,,,,12,,,0,40,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Montana,2020,22,2020-05-30,180,157,,30,,,,12,,,,37,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,23,2020-06-06,178,158,,41,,,,,,,0,41,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,24,2020-06-13,223,190,,54,,,,12,,,,39,10,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,25,2020-06-20,198,176,,49,,,,,,0,0,43,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,26,2020-06-27,199,163,,30,,,,,,,,52,12,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,27,2020-07-04,175,149,0,27,,10,,,,,0,40,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,28,2020-07-11,190,171,,41,,,0,,,,0,44,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,29,2020-07-18,203,176,,42,,,,15,0,,0,47,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,30,2020-07-25,224,196,,43,11,,,,,,,46,,12,11,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,31,2020-08-01,216,189,0,42,,,,14,,,,38,,16,15,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,32,2020-08-08,215,189,,41,,,,10,,,,40,,15,14,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,33,2020-08-15,204,184,,42,10,,0,,,,,50,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2020,34,2020-08-22,240,212,,43,,13,,18,,,,45,11,12,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
Montana,2020,35,2020-08-29,195,167,0,33,,,0,,,,,44,10,12,10,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,36,2020-09-05,233,215,,49,,,,13,,,,47,10,19,18,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,37,2020-09-12,221,196,,36,,,,11,,,,43,,25,22,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,38,2020-09-19,235,216,,47,,,,12,,,,48,,15,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,39,2020-09-26,236,210,,35,,,,16,,,,44,12,20,19,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,40,2020-10-03,240,216,,47,,,,12,,,,43,,32,26,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,41,2020-10-10,282,252,,35,,14,,14,,,,52,,46,40,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,42,2020-10-17,267,245,0,38,11,10,,,,,,51,,51,47,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,43,2020-10-24,295,272,,32,,,,19,,,0,60,,78,71,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Montana,2020,44,2020-10-31,317,296,,42,11,,,16,,,,58,16,89,79,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,45,2020-11-07,299,274,0,39,14,,,21,,,,46,,79,72,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,46,2020-11-14,323,297,,49,13,,,12,,0,,51,,91,74,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,47,2020-11-21,332,317,,46,,,0,18,,,,47,11,119,108,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,48,2020-11-28,307,281,,40,13,,0,13,,,,46,,94,85,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,49,2020-12-05,270,253,,32,,,,10,,,,40,10,103,92,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,50,2020-12-12,303,283,,44,,,,13,,,,54,15,94,81,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,51,2020-12-19,271,243,,36,,11,,10,,,,41,,75,66,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2020,52,2020-12-26,308,287,,52,,,,,,,,59,12,83,75,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2020,53,2021-01-02,274,250,,51,,11,,,,,,55,,52,46,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2021,1,2021-01-09,248,226,,44,,,,12,,,,39,13,52,48,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2021,2,2021-01-16,253,227,,40,,11,0,15,,,,43,,45,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2021,3,2021-01-23,247,218,,41,,,0,11,,,,56,,40,33,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2021,4,2021-01-30,199,173,,34,,,,10,,,,40,,28,22,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2021,5,2021-02-06,215,191,,27,,,0,13,,,,49,11,22,20,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2021,6,2021-02-13,221,199,,42,,,,11,,,,49,,15,13,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2021,7,2021-02-20,210,183,,32,11,,0,,,,,48,,24,18,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2021,8,2021-02-27,224,210,,44,,,,,,,,42,10,14,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2021,9,2021-03-06,187,163,,33,,,,11,,,,40,,18,16,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Montana,2021,10,2021-03-13,198,175,,41,,,,11,,,,38,10,12,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
Montana,2021,11,2021-03-20,219,188,,39,,,,,,,,37,10,16,15,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
Montana,2021,12,2021-03-27,204,178,,33,,,,12,,,,37,,11,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9)
Montana,2021,13,2021-04-03,167,149,,35,10,,,,,0,11,36,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2021,14,2021-04-10,201,188,,55,,,,,,,,45,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2021,15,2021-04-17,232,202,0,45,,,,10,,,10,51,12,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Montana,2021,16,2021-04-24,201,186,,36,,,,,,,11,43,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
